"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","적령 아동-남","적령 아동-여","적령 아동-합계","적령 아동-비율","유예 및 과령 아동-남","유예 및 과령 아동-여","유예 및 과령 아동-합계","유예 및 과령 아동-비율","조기입학아동-남","조기입학아동-여","조기입학아동-합계","조기입학아동-비율","계-남","계-여","합계","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","외국학교수학자-남(2020년 이전)","외국학교수학자-여(2020년 이전)","외국학교수학자-합계(2020년 이전)","외국학교수학자-비율(2020년 이전)","기 타-남","기 타-여","기 타-합계","기 타-비율","소계-남(2020년 이전)","소계-여(2020년 이전)","소계-합계(A)(2020년 이전)","소계-비율(2020년 이전)","정원외 입학자-남(2020년 이전)","정원외 입학자-여(2020년 이전)","정원외 입학자-합계(2020년 이전)","정원외 입학자-비율(2020년 이전)","재입?편입학자-남(2020년 이전)","재입?편입학자-여(2020년 이전)","재입?편입학자-합계(2020년 이전)","재입?편입학자-비율(2020년 이전)","소계-남(2020년 이전)","소계-여(2020년 이전)","소계-합계(B)(2020년 이전)","소계-비율(2020년 이전)","합계-남","합계-여","합계(2020년 이전 : A+B)","시각장애-남","시각장애-여","시각장애-합계","시각장애-비율","청각장애-남","청각장애-여","청각장애-합계","청각장애-비율","정신지체-남","정신지체-여","정신지체-합계","정신지체-비율","지체장애-남","지체장애-여","지체장애-합계","지체장애-비율","정서?행동장애-남","정서?행동장애-여","정서?행동장애-합계","정서?행동장애-비율","자폐성장애-남","자폐성장애-여","자폐성장애-합계","자폐성장애-비율","의사소통장애-남","의사소통장애-여","의사소통장애-합계","의사소통장애-비율","학습장애-남","학습장애-여","학습장애-합계","학습장애-비율","건강장애-남","건강장애-여","건강장애-합계","건강장애-비율","발달지체-남","발달지체-여","발달지체-합계","발달지체-비율","기타-비율","합계-남","합계-여","공시연도"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010700","01","S010000766","서울신구초등학교","02","공립","N","","34","","69"," 100.0","0","","0","   0.0","0","0","0","   0.0","34","35","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000767","서울신동초등학교","02","공립","N","","98","","184","  98.9","0","","0","   0.0","0","2","2","   1.1","98","88","186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000768","서울신중초등학교","02","공립","N","","75","","139","  99.3","0","","0","   0.0","0","1","1","   0.7","75","65","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011000","01","S010000769","서울압구정초등학교","02","공립","N","","72","","143"," 100.0","0","","0","   0.0","0","0","0","   0.0","72","71","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010200","01","S010000770","서울양재초등학교","02","공립","N","","65","","107"," 100.0","0","","0","   0.0","0","0","0","   0.0","65","42","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000771","서울양전초등학교","02","공립","N","","45","","86"," 100.0","0","","0","   0.0","0","0","0","   0.0","45","41","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010900","01","S010000772","서울언남초등학교","02","공립","N","","123","","241"," 100.0","0","","0","   0.0","0","0","0","   0.0","123","118","241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010400","01","S010000773","서울언북초등학교","02","공립","N","","141","","283"," 100.0","0","","0","   0.0","0","0","0","   0.0","141","142","283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000774","서울언주초등학교","02","공립","N","","111","","229","  98.7","0","","2","   0.9","0","1","1","   0.4","111","121","232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010100","01","S010000775","서울역삼초등학교","02","공립","N","","34","","67"," 100.0","0","","0","   0.0","0","0","0","   0.0","34","33","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
